id	title	duration_seconds
51M14SJxDos	Nintendo 3DS XL Handheld Console Demo - Power On & Walkthrough	102.0
58qj3-4G6A4	Arduino robot - Soldering hookup wires to the motors on the Tamiya twin motor gearbox	129.0
59yKw2q742c	Dragon-I Toys Blue Dragon Figure Demo - Collectible Dragon Toy	53.0
5FofWsRV470	1987 Michelob Beer MLB Baseball Retro TV Commercial Ad	31.0
5H2KpBWMyUk	Arduino Lite Brite Clock Build — Soldering the LED Cathode Rows	1241.0
5M8CppUg8js	How to build an Arduino Lite Brite Clock - Parts needed	415.0
5PmjZmCqKtA	Funny dancing guy during contest at Marquette - LSU basketball game	51.0
5X3M2GsXTc0	1987 Ragu Pasta Meals Retro TV Commercial Ad	16.0
5Xgine4N7NM	Larry King interviews Miss South Carolina	63.0
5cDK7REkzAw	Sumo.mp4	56.0
5g8IdDNKiYQ	1987 IBM PC Retro TV Commercial	31.0
5iWGrYklgxw	First Arduino project - modified Hello World with 3 LED's	589.0
5kgv9SC6Qjg	How to use RGB LED's with the Arduino	923.0
5mXA9G3Lw5A	1988 AT&T "The Right Choice" Retro TV Commercial Ad	31.0
5vF7VIrDy1c	1987 Kleinpeter Dairy Baton Rouge "The Taste You Remember" Retro TV Commercial Ad	31.0
5vpL7xbSmZ0	How to build an Arduino Lite Brite Clock - Preliminary testing and programming	358.0
5xLTvYlupqQ	Jimmy's Vendetta Mafia 2 PC Game DLC 16 Sound and Furry HD	257.0
5yRpJ_RxPw0	1987 Milk "America's Health Kick" Retro TV Commercial Ad	31.0
6-H3jKIpG9E	1987 VISA Credit Card Castle Retro TV Commercial Ad	31.0
6COgiIO3pqo	Speech Recognition training for Microsoft Windows 7	286.0
6PU-NqFoNR8	1987 Rockwell International Retro TV Commercial Ad	31.0
6RuV27gdC1o	Mafia 2 Jimmy's Vendetta - 6. Trash Trailer HD	267.0
6YB01_rkxgM	Green gameboy pocket	126.0
6rsjjsUJIPE	The US Senate has a Secret Subway System. I rode it.	67.0
6ywFIZZM5SA	I bought an Elm Eco Pro 2 Key Card Hack	375.0
7HAjbPnvKts	6 Deer come to our back porch on Mount Nebo	38.0
7Ks8rUoBYhY	1987 Max Headroom Promo Clip Retro TV Commercial Ad	30.0
7MVTOCy_Na0	Waterfall on the Gum Springs Trail at Mt Nebo State Park - Arkansas	107.0
7ZLS7GJe37A	1987 Magnavox Television Retro TV Commercial Ad	31.0
7a2YzHNvqKw	No Limit Holdem - 4 table micro stakes at Poker Stars 5/5	622.0
7gkdnDBt9J8	Saved by the Babe - Geocache - GCM828 - *SPOILER* Petit Jean State Park, Arkansas	190.0
7nve0YGdW_k	1987 Yellow Pages That Talk Retro TV Commercial Ad	31.0
7yGAbLp9LnM	How to use the .96" 128x64 OLED display with Arduino - connecting and installing libraries	695.0
80kiYIp4kWM	Dr. J and Larry Bird One on One - Commodore 64 gameplay	310.0
84FMwg7B2Oc	LSU NLU Basketball Highlights 11/12/10	296.0
854Bzrt2vNc	How to Make a Viral YouTube Video — Interview with ThriftMine's Ryan After His Hit	3299.0
89L8DOx5oYI	Oreck XL Pro 10-Quart Industrial Backpack Vacuum Cleaner Demo	136.0
8CqdiJXUakk	1987 Ford Mustang Convertible Retro TV Commercial Ad	31.0
8JP181IxgC0	Panasonic RX-FS450 boom box ghetto blaster jam box demo	174.0
8Jf4b3xPkXc	1987 Dutchboy Paint Retro TV Commercial Ad	31.0
8QfscJ6ahYc	Yamaha CR 2020 Vintage Stereo Receiver Demo	358.0
8R-f5A910AY	Joe's Adventures - Mafia 2 PC Game DLC - 16. Wheels of Evidence HD	250.0
8cAmWKxbmds	Action Biker (Commodore 64, 1985) Full Longplay — Beating a Childhood Classic 25 Years Later	2185.0
8iNlURiMVmU	1988 Preferred Risk "America's Non Drinkers Insurance Company" Retro TV Commercial Ad	31.0
8lnWRXLfRUo	1987 College Bowl VCR Football Game Jimmy Johnson Barry Switzer Retro TV Commercial Ad	30.0
8my99JRqTAA	Buy a Truck Get a Free Sony Watchman Retro TV Commercial Ad	31.0
8tskuIGcgJQ	1988 Ford Tempo Retro TV Commercial Ad	30.0
9FS9IWkL_go	8 tabling .01/.02 NL at PokerStars 2/4	836.0
9KdWdqKzVig	How to build an Arduino Lite Brite Clock - the demo	54.0
9RWybwU3I3U	1987 Litter Fresh Retro TV Commercial Ad	30.0
9VJ9WIDSYUo	1987 Halpin's Carpet Baton Rouge Retro TV Commercial Ad	30.0
9bK5C510yOk	1987 Vasoline Intensive Care Foam Bath Retro TV Commercial Ad	15.0
9db33Iv61cI	1987 Purolator Oil Filters Hot Rod Retro TV Commercial Ad	31.0
9ipBAtRkQZ0	1987 Great River Road Run IX Baton Rouge Retro TV Commercial Ad	31.0
9l4KKg_C8Hs	CFA Cat Show 2014 - Household pet judging- Baton Rouge	285.0
9lzFX03FG6U	Mafia 2 Jimmy's Vendetta DLC Gameplay - PC Walkthrough Part 2	4017.0
9mxyOpEHzoA	HP Touchsmart TX2 Swivel Screen Laptop - Parts Only EBAY Demo	111.0
9sFyUbv88JA	1987 688 Auto Parts Baton Rouge Retro TV Commercial Ad	31.0
A1sdnlsgJB4	Vintage Galaxy Gun 12 Space Toy with Sound Effects Demo	76.0
A4NwT94yrWs	Brother QL 710W Wireless WiFi Thermal Label Printer Demo	97.0
A93es3wbL7c	Power Rangers Saba the Talking Tiger Saber demo	79.0
AAGFnS2HiZ0	1987 Philadelphia Light Cream Cheese Retro TV Commercial Ad	16.0
AOKTdPjzCzU	1987 New York Life Retro TV Commercial Ad	46.0
AkIBsSr2e9M	Joe's Adventures - Mafia 2 PC Game DLC - 26. Bomb Under the Seat HD	132.0
